handle,name,description,friends_count,followers_count,status,isDem
DougJones,Doug Jones,Louise's husband. Father of three. Granddad of two. U.S. Senator for Alabama. Dog person. Avid hunter and fisherman. Author of ”Bending Toward Justice.”,376,5000,.@joetrippi has a great idea here. We know it is happening &amp; we should be doing do more to top Russia from meddling… https://t.co/KpI11GEHdh,1
DougJones,Doug Jones,Louise's husband. Father of three. Granddad of two. U.S. Senator for Alabama. Dog person. Avid hunter and fisherman. Author of ”Bending Toward Justice.”,376,5000,"Happy 80th Birthday to my friend .@repjohnlewis, an inspiration to me and millions of others through his courage an… https://t.co/1Yxtmjx4y6",1
DougJones,Doug Jones,Louise's husband. Father of three. Granddad of two. U.S. Senator for Alabama. Dog person. Avid hunter and fisherman. Author of ”Bending Toward Justice.”,376,5000,My friend @repterrisewell is spot on here folks. Elections have consequences and please register to vote. But don’t… https://t.co/Xw7XnLIn1M,1
DougJones,Doug Jones,Louise's husband. Father of three. Granddad of two. U.S. Senator for Alabama. Dog person. Avid hunter and fisherman. Author of ”Bending Toward Justice.”,376,5000,"Happy Valentine’s Day to my running mate Louise!  She isn’t just the secret to my successes, she is the secret to m… https://t.co/62W7hxYaSQ",1
DougJones,Doug Jones,Louise's husband. Father of three. Granddad of two. U.S. Senator for Alabama. Dog person. Avid hunter and fisherman. Author of ”Bending Toward Justice.”,376,5000,"More than ever, our career Dept. of Justice prosecutors are under pressure to consider politics in their decisions.… https://t.co/qMVJhwzuPM",1
DougJones,Doug Jones,Louise's husband. Father of three. Granddad of two. U.S. Senator for Alabama. Dog person. Avid hunter and fisherman. Author of ”Bending Toward Justice.”,376,5000,"Thanks!  Haven’t been complimented about my weight in awhile.

Regardless Mr. President, thank you for signing into… https://t.co/eqvlgfETMc",1
DougJones,Doug Jones,Louise's husband. Father of three. Granddad of two. U.S. Senator for Alabama. Dog person. Avid hunter and fisherman. Author of ”Bending Toward Justice.”,376,5000,"In his testimony LTC Alexander Vindman said “in America, right matters.”  Growing up in Alabama my dad taught me ri… https://t.co/61u9zm2z1P",1
DougJones,Doug Jones,Louise's husband. Father of three. Granddad of two. U.S. Senator for Alabama. Dog person. Avid hunter and fisherman. Author of ”Bending Toward Justice.”,376,5000,Looking forward to talking to @JakeTapper on @TheLeadCNN at 4 pm EST to talk about my impeachment vote and wherever… https://t.co/c5NGwzd1H0,1
DougJones,Doug Jones,Louise's husband. Father of three. Granddad of two. U.S. Senator for Alabama. Dog person. Avid hunter and fisherman. Author of ”Bending Toward Justice.”,376,5000,I’m really looking forward to joining @Lawrence tonight. Tune in at 10pm est. https://t.co/4ffUwMvNlD,1
DougJones,Doug Jones,Louise's husband. Father of three. Granddad of two. U.S. Senator for Alabama. Dog person. Avid hunter and fisherman. Author of ”Bending Toward Justice.”,376,5000,It is done and now we move on.  Thanks to so many of you who led the charge for #ImpartialJustice.  While we did no… https://t.co/BV2sR152ht,1
DougJones,Doug Jones,Louise's husband. Father of three. Granddad of two. U.S. Senator for Alabama. Dog person. Avid hunter and fisherman. Author of ”Bending Toward Justice.”,376,5000,"Today, I have the solemn responsibility to uphold my oath of #ImpartialJustice

Growing up in Alabama I learned rig… https://t.co/AQC9vfm4fM",1
DougJones,Doug Jones,Louise's husband. Father of three. Granddad of two. U.S. Senator for Alabama. Dog person. Avid hunter and fisherman. Author of ”Bending Toward Justice.”,376,5000,Leave it to our children to capture our true nature and approach better than we ever can articulate. I am so proud… https://t.co/iJtwYySrHm,1
DougJones,Doug Jones,Louise's husband. Father of three. Granddad of two. U.S. Senator for Alabama. Dog person. Avid hunter and fisherman. Author of ”Bending Toward Justice.”,376,5000,"Folks, bipartisanship is a two way street. Well guess what- so is partisanship.  Partisanship in the House proceedi… https://t.co/4yeh5Gvxss",1
DougJones,Doug Jones,Louise's husband. Father of three. Granddad of two. U.S. Senator for Alabama. Dog person. Avid hunter and fisherman. Author of ”Bending Toward Justice.”,376,5000,I cannot get my arms around the fact that we may not get witnesses because we don’t want to spend the time necessar… https://t.co/YbJQm2Z89b,1
DougJones,Doug Jones,Louise's husband. Father of three. Granddad of two. U.S. Senator for Alabama. Dog person. Avid hunter and fisherman. Author of ”Bending Toward Justice.”,376,5000,Some folks seem to be surprised to hear that I haven't made up my mind yet. But I took an oath here and I believe I… https://t.co/luI8meWLI4,1
DougJones,Doug Jones,Louise's husband. Father of three. Granddad of two. U.S. Senator for Alabama. Dog person. Avid hunter and fisherman. Author of ”Bending Toward Justice.”,376,5000,RT @SenDougJones: This shouldn't be a partisan process where someone's vote is determined by their political party. This is about our Const…,1
DougJones,Doug Jones,Louise's husband. Father of three. Granddad of two. U.S. Senator for Alabama. Dog person. Avid hunter and fisherman. Author of ”Bending Toward Justice.”,376,5000,We have 48 hours to ensure that America hears from witnesses. It’s my hope that my colleagues on the other side of… https://t.co/BNw3Tix7Vu,1
DougJones,Doug Jones,Louise's husband. Father of three. Granddad of two. U.S. Senator for Alabama. Dog person. Avid hunter and fisherman. Author of ”Bending Toward Justice.”,376,5000,"I can’t make this anymore simple. This moment is too important for the country. 

We need witnesses.
We need docume… https://t.co/3guhA6nvep",1
DougJones,Doug Jones,Louise's husband. Father of three. Granddad of two. U.S. Senator for Alabama. Dog person. Avid hunter and fisherman. Author of ”Bending Toward Justice.”,376,5000,The Senate needs to hear from Bolton. The American people deserve to hear from Bolton.  If we can’t get Bolton let’… https://t.co/0OjjimC993,1
lisamurkowski,Sen. Lisa Murkowski,Official Twitter account for U.S. Senator Lisa Murkowski. Follow me for news and updates on what's happening in the Senate and across Alaska.,569,5000,"Wrapping up a week of travel in Alaska—we had great days in Juneau, Sitka, and Ketchikan, visiting not only communi… https://t.co/ucIzmJqNhG",0
lisamurkowski,Sen. Lisa Murkowski,Official Twitter account for U.S. Senator Lisa Murkowski. Follow me for news and updates on what's happening in the Senate and across Alaska.,569,5000,"I was particularly impressed by @uasoutheast's ship simulator lab, which allows students to get a feel for navigati… https://t.co/Fy16j7KWLI",0
lisamurkowski,Sen. Lisa Murkowski,Official Twitter account for U.S. Senator Lisa Murkowski. Follow me for news and updates on what's happening in the Senate and across Alaska.,569,5000,"I recently visited their state-of-the-art training facility, which was rebuilt 2 years ago. It was encouraging to t… https://t.co/T26URhRGm8",0
lisamurkowski,Sen. Lisa Murkowski,Official Twitter account for U.S. Senator Lisa Murkowski. Follow me for news and updates on what's happening in the Senate and across Alaska.,569,5000,"For more than 30 years, @uasoutheast Ketchikan has been training and preparing Alaskans to pursue maritime careers,… https://t.co/dotead5hsZ",0
lisamurkowski,Sen. Lisa Murkowski,Official Twitter account for U.S. Senator Lisa Murkowski. Follow me for news and updates on what's happening in the Senate and across Alaska.,569,5000,Hearing how engaged and knowledgeable these students are about the world around them and what’s happening in our st… https://t.co/t5tkzDNGDT,0
lisamurkowski,Sen. Lisa Murkowski,Official Twitter account for U.S. Senator Lisa Murkowski. Follow me for news and updates on what's happening in the Senate and across Alaska.,569,5000,"I recently had a chance to take part in a Q&amp;A session with the students of Kayhi, who asked about potential impacts… https://t.co/DgiKEFa2w2",0
lisamurkowski,Sen. Lisa Murkowski,Official Twitter account for U.S. Senator Lisa Murkowski. Follow me for news and updates on what's happening in the Senate and across Alaska.,569,5000,"While in Ketchikan, I had a productive meeting with Saxman IRA, including President Lee Wallace. I look forward to… https://t.co/eUgp2DAjH5",0
lisamurkowski,Sen. Lisa Murkowski,Official Twitter account for U.S. Senator Lisa Murkowski. Follow me for news and updates on what's happening in the Senate and across Alaska.,569,5000,Proud to have led legislation to award Katherine Johnson w/ a Congressional Gold Medal- A fitting honor for her wor… https://t.co/uWl962GeDF,0
lisamurkowski,Sen. Lisa Murkowski,Official Twitter account for U.S. Senator Lisa Murkowski. Follow me for news and updates on what's happening in the Senate and across Alaska.,569,5000,"Whether it’s the need for increased access to healthcare, taking care of our oceans and fisheries, or the need for… https://t.co/Ro7UHI2Kb5",0
lisamurkowski,Sen. Lisa Murkowski,Official Twitter account for U.S. Senator Lisa Murkowski. Follow me for news and updates on what's happening in the Senate and across Alaska.,569,5000,"While in Ketchikan, I hosted a roundtable for community leaders, including representatives from the healthcare indu… https://t.co/NHaUjwHAil",0
lisamurkowski,Sen. Lisa Murkowski,Official Twitter account for U.S. Senator Lisa Murkowski. Follow me for news and updates on what's happening in the Senate and across Alaska.,569,5000,Tessa &amp; I had a great conversation about the future of Southeast’s timber industry. We know Alaska Forest Associati… https://t.co/wYpDbDundY,0
lisamurkowski,Sen. Lisa Murkowski,Official Twitter account for U.S. Senator Lisa Murkowski. Follow me for news and updates on what's happening in the Senate and across Alaska.,569,5000,"During my time in Ketchikan, I was glad to congratulate Tessa Axelson on being selected as Alaska Forest Associatio… https://t.co/lgUpIczHns",0
lisamurkowski,Sen. Lisa Murkowski,Official Twitter account for U.S. Senator Lisa Murkowski. Follow me for news and updates on what's happening in the Senate and across Alaska.,569,5000,"This conversation was an important reminder of the critical support the @USCG provides our state, but also a heartw… https://t.co/rZ0XqVaL4Q",0
lisamurkowski,Sen. Lisa Murkowski,Official Twitter account for U.S. Senator Lisa Murkowski. Follow me for news and updates on what's happening in the Senate and across Alaska.,569,5000,"We had a productive discussion about some of their needs, but also some of the progress that we’ve made—not only to… https://t.co/fjtBlWk2DH",0
lisamurkowski,Sen. Lisa Murkowski,Official Twitter account for U.S. Senator Lisa Murkowski. Follow me for news and updates on what's happening in the Senate and across Alaska.,569,5000,"As I continue my efforts to provide the @USCG with the tools &amp; resources they need to succeed, it’s helpful to chec… https://t.co/5RjBg6eS77",0
lisamurkowski,Sen. Lisa Murkowski,Official Twitter account for U.S. Senator Lisa Murkowski. Follow me for news and updates on what's happening in the Senate and across Alaska.,569,5000,It makes communities stronger when we are able to talk about the local challenges and opportunities that not only i… https://t.co/xKlEH7awQc,0
lisamurkowski,Sen. Lisa Murkowski,Official Twitter account for U.S. Senator Lisa Murkowski. Follow me for news and updates on what's happening in the Senate and across Alaska.,569,5000,"I recently hosted a community leadership round-table in Sitka, where we discussed everything from climate change &amp;… https://t.co/LNyYU3FFgW",0
lisamurkowski,Sen. Lisa Murkowski,Official Twitter account for U.S. Senator Lisa Murkowski. Follow me for news and updates on what's happening in the Senate and across Alaska.,569,5000,I remain committed to working at the Federal level and with the State of Alaska to tackle these issues. Change does… https://t.co/xxRuNbtsGq,0
lisamurkowski,Sen. Lisa Murkowski,Official Twitter account for U.S. Senator Lisa Murkowski. Follow me for news and updates on what's happening in the Senate and across Alaska.,569,5000,"Among other issues, they shared their deep concern over the crisis of Missing &amp; Murdered Indigenous Woman as well a… https://t.co/Bra0Rif4jj",0
lisamurkowski,Sen. Lisa Murkowski,Official Twitter account for U.S. Senator Lisa Murkowski. Follow me for news and updates on what's happening in the Senate and across Alaska.,569,5000,"In Sitka, I met w/ the Grand Presidents of the Alaskan Native Brotherhood &amp; Alaska Native Sisterhood. I was particu… https://t.co/dFGZbc314U",0
SenDanSullivan,Sen. Dan Sullivan,Official twitter account for U.S. Senator Dan Sullivan.  Proudly serving the state of Alaska.,704,5000,"@SenWhitehouse Alex DeMarban had a great story in @adndotcom this weekend exploring this odd-couple friendship, and… https://t.co/MjHYYS668q",0
SenDanSullivan,Sen. Dan Sullivan,Official twitter account for U.S. Senator Dan Sullivan.  Proudly serving the state of Alaska.,704,5000,"Given the constant negative press coverage coming out of D.C., you’d be forgiven for thinking that Republicans and… https://t.co/7Pl03OWLRU",0
SenDanSullivan,Sen. Dan Sullivan,Official twitter account for U.S. Senator Dan Sullivan.  Proudly serving the state of Alaska.,704,5000,"@WSJ @POTUS This episode underscores why it's time to pass the True Reciprocity Act, my bill w/ Sen.… https://t.co/0eYB6L8Xkj",0
SenDanSullivan,Sen. Dan Sullivan,Official twitter account for U.S. Senator Dan Sullivan.  Proudly serving the state of Alaska.,704,5000,"While Chinese journalists operate freely in America, the #CCP enacts a heavy hand against our own, expelling 3 cred… https://t.co/YtR1tIqBnM",0
SenDanSullivan,Sen. Dan Sullivan,Official twitter account for U.S. Senator Dan Sullivan.  Proudly serving the state of Alaska.,704,5000,"@lisamurkowski @repdonyoung The Senate Democrats' letter mischaracterizes the actual, limited development that’s be… https://t.co/Iau38Kr5rL",0
SenDanSullivan,Sen. Dan Sullivan,Official twitter account for U.S. Senator Dan Sullivan.  Proudly serving the state of Alaska.,704,5000,"A number of my Senate Democrat colleagues sent a letter to the nation’s top banks, urging them not to finance energ… https://t.co/BxEDulemW6",0
SenDanSullivan,Sen. Dan Sullivan,Official twitter account for U.S. Senator Dan Sullivan.  Proudly serving the state of Alaska.,704,5000,Elizabeth’s activism and accomplishments represent a shining example for all Americans – an example that is now imm… https://t.co/m5qpdSQGLa,0
SenDanSullivan,Sen. Dan Sullivan,Official twitter account for U.S. Senator Dan Sullivan.  Proudly serving the state of Alaska.,704,5000,"In so doing, she helped pass Alaska’s Anti-Discrimination Act of 1945, the 1st piece of legislation in the country… https://t.co/2kzESTSTS2",0
SenDanSullivan,Sen. Dan Sullivan,Official twitter account for U.S. Senator Dan Sullivan.  Proudly serving the state of Alaska.,704,5000,"Before Alaska was even a state, Elizabeth Peratrovich and her husband, Roy, along with the Alaska Native Sisterhood… https://t.co/lqublRdvf5",0
SenDanSullivan,Sen. Dan Sullivan,Official twitter account for U.S. Senator Dan Sullivan.  Proudly serving the state of Alaska.,704,5000,"This week, the U.S. Mint released the long-awaited Sacagawea 1 Dollar Coin celebrating Elizabeth Peratrovich, a Tli… https://t.co/ac0pwqbILc",0
SenDanSullivan,Sen. Dan Sullivan,Official twitter account for U.S. Senator Dan Sullivan.  Proudly serving the state of Alaska.,704,5000,"In the Senate, we’ve confirmed 188 federal judges ⚖️ since @POTUS took office. Today, it was Alaska’s turn. I was g… https://t.co/pQkMDWe6Oy",0
SenDanSullivan,Sen. Dan Sullivan,Official twitter account for U.S. Senator Dan Sullivan.  Proudly serving the state of Alaska.,704,5000,I've introduced a bill w/ @ChrisVanHollen directing the administration to develop an in-depth report to Congress on… https://t.co/iHVVOKTLjl,0
SenDanSullivan,Sen. Dan Sullivan,Official twitter account for U.S. Senator Dan Sullivan.  Proudly serving the state of Alaska.,704,5000,This imbalance has been raised w/ the most senior Chinese officials for decades but Beijing has consistently failed… https://t.co/9J1amztAqK,0
SenDanSullivan,Sen. Dan Sullivan,Official twitter account for U.S. Senator Dan Sullivan.  Proudly serving the state of Alaska.,704,5000,The imbalance in the US-China relationship has reached a tipping point. American citizens &amp; businesses operating in… https://t.co/ty53uvM2SL,0
SenDanSullivan,Sen. Dan Sullivan,Official twitter account for U.S. Senator Dan Sullivan.  Proudly serving the state of Alaska.,704,5000,"Congratulations to Brent Sass, the reigning @theyukonquest champ from Eureka, who just took home his 3rd title, cro… https://t.co/8JzmwGegqt",0
SenDanSullivan,Sen. Dan Sullivan,Official twitter account for U.S. Senator Dan Sullivan.  Proudly serving the state of Alaska.,704,5000,"@SecElaineChao @DeptofDefense This grant will help restore the Port of Alaska’s status as a safe, cost-effective, r… https://t.co/efZCg6krHq",0
SenDanSullivan,Sen. Dan Sullivan,Official twitter account for U.S. Senator Dan Sullivan.  Proudly serving the state of Alaska.,704,5000,@SecElaineChao The Port of Alaska is the only @DeptofDefense strategic seaport near the #Arctic—a fact we cannot ov… https://t.co/TKhj0o3BJO,0
SenDanSullivan,Sen. Dan Sullivan,Official twitter account for U.S. Senator Dan Sullivan.  Proudly serving the state of Alaska.,704,5000,@SecElaineChao The Port of Alaska not only serves the most basic needs of a broad swath of Alaskans – including fue… https://t.co/nK0brxtJTK,0
SenDanSullivan,Sen. Dan Sullivan,Official twitter account for U.S. Senator Dan Sullivan.  Proudly serving the state of Alaska.,704,5000,"This morning, @SecElaineChao announced a $20 million Port Infrastructure Development Program (PIDP) grant for the P… https://t.co/LlBwFfOyuc",0
SenDanSullivan,Sen. Dan Sullivan,Official twitter account for U.S. Senator Dan Sullivan.  Proudly serving the state of Alaska.,704,5000,"I have reintroduced my bill, the “Protect Our Heroes Act,” which would enhance federal penalties, including opening… https://t.co/cwySYbMZsE",0
SenatorSinema,Kyrsten Sinema,"Official Twitter feed of U.S. Senator Kyrsten Sinema, serving Arizona.",735,5000,"Eliminating the Health Insurance Tax protects Arizona families, seniors, and businesses from rising health care cos… https://t.co/3ttYIStHrG",1
SenatorSinema,Kyrsten Sinema,"Official Twitter feed of U.S. Senator Kyrsten Sinema, serving Arizona.",735,5000,Strengthening the Border Patrol's recruitment and retention secures our border and keeps Arizonans safe. https://t.co/fkYYWzE32D,1
SenatorSinema,Kyrsten Sinema,"Official Twitter feed of U.S. Senator Kyrsten Sinema, serving Arizona.",735,5000,.@VetTix (Veteran Tickets Foundation) is spreading the word about our VA Services Survey. Arizona veterans' feedbac… https://t.co/2btoKW65Qq,1
SenatorSinema,Kyrsten Sinema,"Official Twitter feed of U.S. Senator Kyrsten Sinema, serving Arizona.",735,5000,We’re proud to work with Flagstaff leaders to secure funding for the completion of the Rio de Flag flood control pr… https://t.co/MvOybOoVcu,1
SenatorSinema,Kyrsten Sinema,"Official Twitter feed of U.S. Senator Kyrsten Sinema, serving Arizona.",735,5000,We’re partnering with @FlagMedical to help make health care more affordable and accessible for Arizona families.… https://t.co/omBxVrZ8Se,1
SenatorSinema,Kyrsten Sinema,"Official Twitter feed of U.S. Senator Kyrsten Sinema, serving Arizona.",735,5000,"Yuma: Meet our team for mobile office hours if you're having issues with Social Security, Medicare, or any federal… https://t.co/L6CVJaZelo",1
SenatorSinema,Kyrsten Sinema,"Official Twitter feed of U.S. Senator Kyrsten Sinema, serving Arizona.",735,5000,"75 years ago today, Joe Rosenthal captured the historic photo of @USMC raising the flag on Iwo Jima, earning a Puli… https://t.co/RSczQz3jXr",1
SenatorSinema,Kyrsten Sinema,"Official Twitter feed of U.S. Senator Kyrsten Sinema, serving Arizona.",735,5000,We're working with @ahrangels (Amanda Hope Rainbow Angels) to support in-home care for patients with life-threateni… https://t.co/KtWuGNDi5F,1
SenatorSinema,Kyrsten Sinema,"Official Twitter feed of U.S. Senator Kyrsten Sinema, serving Arizona.",735,5000,"Fountain Hills: Meet our team for mobile office hours if you're having issues with Social Security, Medicare, or an… https://t.co/peDnL3bnXO",1
SenatorSinema,Kyrsten Sinema,"Official Twitter feed of U.S. Senator Kyrsten Sinema, serving Arizona.",735,5000,"During #CTEMonth, we're proud to champion career and technical education and resources for community colleges. https://t.co/QGpAIMzMyw",1
SenatorSinema,Kyrsten Sinema,"Official Twitter feed of U.S. Senator Kyrsten Sinema, serving Arizona.",735,5000,New grant funding will support training for Arizona firefighters and first responders who risk their lives to prote… https://t.co/jdYS2TKzp7,1
SenatorSinema,Kyrsten Sinema,"Official Twitter feed of U.S. Senator Kyrsten Sinema, serving Arizona.",735,5000,"Flagstaff: Meet our team for mobile office hours if you're having issues with Social Security, Medicare, or any fed… https://t.co/tpMuBZK7GG",1
SenatorSinema,Kyrsten Sinema,"Official Twitter feed of U.S. Senator Kyrsten Sinema, serving Arizona.",735,5000,Excited to welcome Bunker Labs - a nonprofit helping veterans and military spouses start businesses - to Arizona! https://t.co/tWDAfN32UG,1
SenatorSinema,Kyrsten Sinema,"Official Twitter feed of U.S. Senator Kyrsten Sinema, serving Arizona.",735,5000,"Tombstone: Meet our team for mobile office hours if you're having issues with Social Security, Medicare, or any fed… https://t.co/mWjC0kIADq",1
SenatorSinema,Kyrsten Sinema,"Official Twitter feed of U.S. Senator Kyrsten Sinema, serving Arizona.",735,5000,Measuring America's economic standing is a commonsense step to address our nation's debt and grow our economy. Read… https://t.co/yk0o3AVMWZ,1
SenatorSinema,Kyrsten Sinema,"Official Twitter feed of U.S. Senator Kyrsten Sinema, serving Arizona.",735,5000,New grant funding provides mental health support for AZ first responders who risk their lives to keep us safe. https://t.co/nberQVktoC,1
SenatorSinema,Kyrsten Sinema,"Official Twitter feed of U.S. Senator Kyrsten Sinema, serving Arizona.",735,5000,"Winslow: Meet our team for mobile office hours if you're having issues with Social Security, Medicare, or any feder… https://t.co/weruNYFbYC",1
SenatorSinema,Kyrsten Sinema,"Official Twitter feed of U.S. Senator Kyrsten Sinema, serving Arizona.",735,5000,Incredible students Michael Bendok and Clare Flaherty were named AZ's top youth volunteers. Congratulations! https://t.co/g43cAdLQIy,1
SenatorSinema,Kyrsten Sinema,"Official Twitter feed of U.S. Senator Kyrsten Sinema, serving Arizona.",735,5000,"We delivered #ValentinesForVets to the Phoenix and Tucson VAs. Thank you Barbara B. Robey Elementary, Encanto Eleme… https://t.co/rcmeiv3P2l",1
SenatorSinema,Kyrsten Sinema,"Official Twitter feed of U.S. Senator Kyrsten Sinema, serving Arizona.",735,5000,"Phoenix: Meet our team for mobile office hours if you're having issues with Social Security, Medicare, or any feder… https://t.co/3oqXmGDol9",1
SenMcSallyAZ,Martha McSally,First female fighter pilot to fly in combat. Veteran. Dog mom to Boomer. Proudly representing the people of Arizona in the U.S. Senate.,774,5000,My amendment helped block $15.4 million in cuts to Arizona transit agencies that are critically important to our gr… https://t.co/Oeupc5yWIQ,0
SenMcSallyAZ,Martha McSally,First female fighter pilot to fly in combat. Veteran. Dog mom to Boomer. Proudly representing the people of Arizona in the U.S. Senate.,774,5000,Katherine Johnson is a powerful role model for women in STEM. Her mathematical calculations put the first humans on… https://t.co/w7icx69Qtp,0
SenMcSallyAZ,Martha McSally,First female fighter pilot to fly in combat. Veteran. Dog mom to Boomer. Proudly representing the people of Arizona in the U.S. Senate.,774,5000,"Arizona job seekers, come join us! I'm hosting a job &amp; career fair on March 17 at the Mesa Convention Center. This… https://t.co/JQv7O8g4ns",0
SenMcSallyAZ,Martha McSally,First female fighter pilot to fly in combat. Veteran. Dog mom to Boomer. Proudly representing the people of Arizona in the U.S. Senate.,774,5000,Visited @FreseniusKC in Lake Havasu City yesterday to speak with dialysis patients and learn more about the innovat… https://t.co/YXdo05ktJU,0
SenMcSallyAZ,Martha McSally,First female fighter pilot to fly in combat. Veteran. Dog mom to Boomer. Proudly representing the people of Arizona in the U.S. Senate.,774,5000,Thanks to the @CalPortland team for having me out for their truck roadeo today! https://t.co/HWzGko3F7P,0
SenMcSallyAZ,Martha McSally,First female fighter pilot to fly in combat. Veteran. Dog mom to Boomer. Proudly representing the people of Arizona in the U.S. Senate.,774,5000,Honored to join our WWII veterans and Arizona community for the dedication of the USS Arizona Memorial Gardens at S… https://t.co/o9hw5HGbkW,0
